TotalProfitUSD,Probability
9480.0,2.702396665766462e-07
9500.0,2.633766464669195e-07
9520.0,2.5459955339954066e-07
9540.0,2.4733599372737876e-07
9560.0,2.407864110298837e-07
9580.0,2.3234364421001161e-07
9600.0,2.2575102033938645e-07
9620.0,2.2060246195501746e-07
9640.0,2.129229597451995e-07
9660.0,2.0614402768588007e-07
9680.0,2.010485670285388e-07
9700.0,1.94713665593017e-07
9720.0,1.8883668436344718e-07
9740.0,1.84110388840463e-07
9760.0,1.7791609179772454e-07
9780.0,1.7233542571160733e-07
9800.0,1.685219599362102e-07
9820.0,1.6321306028438146e-07
9840.0,1.5791280047262393e-07
9860.0,1.5394985105612762e-07
9880.0,1.4891887672607507e-07
9900.0,1.443247216991002e-07
9920.0,1.4108593241667884e-07
9940.0,1.366528551193704e-07
9960.0,1.3174453887612367e-07
9980.0,1.2841331978826863e-07
10000.0,1.247199642466895e-07
10020.0,1.2048833312609224e-07
10040.0,1.1743289264502919e-07
10060.0,1.1407437670441912e-07
10080.0,1.0984881334241008e-07
10100.0,1.0691649693042164e-07
10120.0,1.0396287624280446e-07
10140.0,1.0051505886805236e-07
10160.0,9.788619200553186e-08
10180.0,9.5116700427928e-08
10200.0,9.165100320726233e-08
10220.0,8.907027495629026e-08
10240.0,8.676609387369474e-08
10260.0,8.375733490908957e-08
10280.0,8.134910978628203e-08
10300.0,7.901167454546965e-08
10320.0,7.591418726362509e-08
10340.0,7.37332090452e-08
10360.0,7.200292543871282e-08
10380.0,6.928159317715667e-08
10400.0,6.687758130977239e-08
10420.0,6.527197501891997e-08
10440.0,6.298763204280331e-08
10460.0,6.095855865401097e-08
10480.0,5.9363181366413895e-08
10500.0,5.731402362049737e-08
10520.0,5.517877201661115e-08
10540.0,5.383639358059209e-08
10560.0,5.23272872399857e-08
10580.0,5.02628170012502e-08
10600.0,4.8807623027459384e-08
10620.0,4.725350400885568e-08
10640.0,4.562253648269832e-08
10660.0,4.4526258934074795e-08
10680.0,4.30149322234354e-08
10700.0,4.132448870356847e-08
10720.0,4.0250893702091194e-08
10740.0,3.901808636958211e-08
10760.0,3.753423756528031e-08
10780.0,3.661462885331346e-08
10800.0,3.541177741394348e-08
10820.0,3.39367035723646e-08
10840.0,3.312584659666554e-08
10860.0,3.228776046096916e-08
10880.0,3.09338810621727e-08
10900.0,3.005202231399849e-08
10920.0,2.930712740860271e-08
10940.0,2.8085621335748633e-08
10960.0,2.7234204462593594e-08
10980.0,2.6621266885087103e-08
11000.0,2.56340445910392e-08
11020.0,2.474156327813977e-08
11040.0,2.4107666909886927e-08
11060.0,2.3198915119359404e-08
11080.0,2.250399139115071e-08
11100.0,2.202737006195899e-08
11120.0,2.1179143614609168e-08
11140.0,2.0393882347772937e-08
11160.0,1.9895466296831027e-08
11180.0,1.9144756520982486e-08
11200.0,1.8554737022498256e-08
